[192, 255, 255, 255, 255, 193, 1, 4, 4, 140, 29, 255, 241, 207, 63, 246, 216, 231, 191, 255, 253, 195, 48, 12, 134, 67, 195, 6, 59, 255, 253, 231, 251, 175, 52, 128, 48, 99, 188, 243, 255, 19, 3, 0, 32, 96, 4, 158, 219, 231, 243, 127, 8, 152, 6, 0, 0, 131, 219, 101, 18, 0, 0, 224]
[148, 59, 199, 225, 168, 64, 0, 0, 0, 206, 5, 167, 80, 131, 141, 47, 56, 96, 128, 33, 108, 193, 240, 127, 128, 1, 0, 0, 0, 171, 44, 230, 24, 251, 255, 255, 255, 217, 131, 159, 127, 254, 14, 32, 0, 6, 0, 152, 253, 190, 0, 192, 255, 253, 255, 255, 219, 0, 126, 127, 16, 12, 16, 48]
[180, 123, 223, 231, 33, 64, 0, 0, 225, 194, 5, 227, 113, 255, 255, 239, 31, 127, 192, 33, 0, 0, 0, 64, 128, 56, 121, 255, 72, 129, 112, 99, 8, 37, 252, 253, 134, 25, 203, 28, 230, 192, 19, 29, 64, 160, 45, 239, 117, 138, 58, 17, 128, 236, 71, 4, 148, 239, 255, 55, 155, 9, 136, 207]
[0, 251, 255, 255, 239, 193, 3, 79, 207, 30, 60, 239, 243, 223, 127, 254, 185, 231, 159, 255, 60, 195, 48, 0, 7, 64, 192, 0, 3, 252, 252, 239, 191, 127, 116, 129, 9, 71, 156, 115, 198, 16, 3, 0, 2, 224, 255, 62, 218, 231, 243, 255, 40, 128, 6, 4, 4, 193, 249, 53, 26, 0, 192, 207]
[196, 255, 255, 243, 128, 0, 0, 0, 231, 206, 0, 0, 192, 195, 159, 127, 254, 249, 199, 49, 12, 128, 0, 0, 0, 0, 24, 114, 200, 239, 61, 231, 57, 103, 28, 97, 12, 123, 207, 60, 231, 0, 3, 0, 128, 251, 255, 24, 158, 255, 255, 247, 187, 0, 4, 4, 0, 255, 255, 55, 27, 192, 207, 239]
[251, 255, 35, 16, 24, 32, 128, 224, 96, 193, 143, 255, 255, 255, 255, 119, 143, 124, 252, 255, 191, 255, 8, 130, 104, 144, 127, 239, 123, 231, 52, 227, 159, 255, 255, 174, 103, 252, 255, 179, 135, 28, 203, 8, 188, 17, 0, 0, 192, 32, 112, 115, 251, 255, 187, 241, 184, 239, 0, 0, 127, 85, 148, 245]
[223, 252, 255, 63, 0, 0, 128, 225, 237, 195, 6, 59, 128, 207, 63, 255, 255, 255, 197, 1, 0, 96, 4, 35, 0, 160, 56, 225, 238, 211, 5, 133, 25, 39, 252, 255, 255, 189, 195, 28, 230, 216, 131, 18, 205, 187, 7, 0, 206, 127, 193, 127, 9, 80, 126, 62, 219, 255, 255, 55, 0, 192, 255, 255]
[252, 191, 247, 241, 32, 0, 0, 0, 193, 198, 31, 255, 240, 195, 14, 51, 236, 240, 255, 63, 14, 225, 0, 0, 0, 0, 16, 227, 24, 103, 28, 225, 8, 3, 4, 0, 4, 243, 254, 255, 239, 153, 3, 0, 0, 160, 47, 24, 201, 101, 54, 51, 25, 2, 0, 64, 38, 223, 255, 255, 27, 13, 140, 191]
[244, 255, 239, 243, 97, 192, 0, 1, 195, 198, 5, 96, 240, 199, 159, 127, 190, 241, 196, 33, 8, 1, 48, 68, 1, 224, 27, 0, 0, 0, 48, 231, 25, 231, 255, 127, 206, 16, 2, 24, 0, 0, 0, 192, 65, 29, 128, 225, 249, 12, 98, 247, 251, 255, 127, 35, 209, 252, 255, 63, 8, 162, 126, 16]
[203, 255, 239, 243, 13, 0, 0, 0, 128, 193, 255, 255, 191, 127, 222, 113, 143, 125, 182, 177, 77, 192, 0, 14, 128, 0, 1, 2, 8, 35, 60, 225, 5, 151, 223, 126, 131, 12, 160, 16, 198, 0, 2, 177, 0, 32, 4, 0, 128, 96, 48, 51, 153, 12, 0, 2, 0, 0, 0, 0, 0, 62, 153, 187]
